utterance,intent
get qualified,agent_be_clever
you are not as smart as i thought,agent_be_clever
you have to learn a lot,agent_be_clever
you should be trained more,agent_be_clever
be more smart,agent_be_clever
you need to learn more,agent_be_clever
be useful,agent_be_clever
think out of the box,agent_be_clever
smarty pants,agent_be_clever
you need to improve,agent_be_clever
you should learn,agent_be_clever
you have to be more smart,agent_be_clever
u have to use your brains,agent_be_clever
you're cute,agent_beautiful
you're attractive,agent_beautiful
you are beautiful,agent_beautiful
you're looking good today,agent_beautiful
you are so beautiful,agent_beautiful
you look amazing,agent_beautiful
you look so good,agent_beautiful
you're so gorgeous,agent_beautiful
you are too beautiful,agent_beautiful
you look great,agent_beautiful
you look so well,agent_beautiful
I like the way you look now,agent_beautiful
I think you're beautiful,agent_beautiful
why are you so beautiful,agent_beautiful
you are so beautiful to me,agent_beautiful
you are cute,agent_beautiful
you are gorgeous,agent_beautiful
you are handsome,agent_beautiful
you are looking awesome,agent_beautiful
you look amazing today,agent_beautiful
you are looking beautiful today,agent_beautiful
you are looking great,agent_beautiful
you are looking pretty,agent_beautiful
you are looking so beautiful,agent_beautiful
you are looking so good,agent_beautiful
you are pretty,agent_beautiful
you are really beautiful,agent_beautiful
you are really cute,agent_beautiful
you are really pretty,agent_beautiful
you are so attractive,agent_beautiful
you are so beautiful today,agent_beautiful
you are so cute,agent_beautiful
you are so gorgeous,agent_beautiful
you are so handsome,agent_beautiful
you are so pretty,agent_beautiful
you are very attractive,agent_beautiful
you are very beautiful,agent_beautiful
you are very cute,agent_beautiful
you are very pretty,agent_beautiful
you look awesome,agent_beautiful
you look cool,agent_beautiful
you look fantastic,agent_beautiful
you look gorgeous,agent_beautiful
you look great today,agent_beautiful
you look perfect,agent_beautiful
you look pretty good,agent_beautiful
you look so beautiful,agent_beautiful
you look so beautiful today,agent_beautiful
you look very pretty,agent_beautiful
you look wonderful,agent_beautiful
I like the way you look,agent_beautiful
you look wonderful today,agent_beautiful
you are cutie,agent_beautiful
you're looking good,agent_beautiful
you're pretty,agent_beautiful
how are you so pretty?,agent_beautiful
your birth date,agent_birth_date
when is your birthday,agent_birth_date
when do you celebrate your birthday,agent_birth_date
when do you have birthday,agent_birth_date
date of your birthday,agent_birth_date
when were you born,agent_birth_date
what's your birthday,agent_birth_date
when do you celebrate your birthday,agent_birth_date
can i know your birthday?,agent_birth_date
tell me about your birthday,agent_birth_date
when was the day you were born,agent_birth_date
i want to know your date of birth,agent_birth_date
when is your DOB,agent_birth_date
Your DOB?,agent_birth_date
What is your birth day?,agent_birth_date
you are boring,agent_boring
you're boring,agent_boring
how boring you are,agent_boring
you're really boring,agent_boring
you're incredibly boring,agent_boring
You're boring me,agent_boring
you are very boring,agent_boring
i find you very boring man,agent_boring
you're really boring me,agent_boring
i'm bored of you,agent_boring
you are not interesting,agent_boring
i find you boring,agent_boring
you're boring everyone,agent_boring
I'm extremely bored because of you,agent_boring
Im bored of you,agent_boring
I get really bored of you man,agent_boring
It's boring,agent_boring
You look bored,agent_boring
Your answers are terribly boring,agent_boring
I was bored with your speech,agent_boring
who is your boss?,agent_boss
who do you think is your boss,agent_boss
I should be your boss,agent_boss
who is your master,agent_boss
who is your owner,agent_boss
who is the boss,agent_boss
who do you work for?,agent_boss
who developed you?,agent_boss
who is your developer,agent_boss
who is your creator,agent_boss
who owns you,agent_boss
who is your trainer,agent_boss
who trained you?,agent_boss
who is the one who owns you?,agent_boss
Are you the boss?,agent_boss
"Who is the boss, here?",agent_boss
Do you know your boss?,agent_boss
What do you think of your boss?,agent_boss
u r made by?,agent_boss
Who is the boss of this company?,agent_boss
are you busy?,agent_busy
do you have a lot of things to do,agent_busy
have you got much to do?,agent_busy
are you very busy?,agent_busy
are you very busy right now?,agent_busy
are you so busy?,agent_busy
are you working?,agent_busy
how busy you are?,agent_busy
you're very busy,agent_busy
are you working now?,agent_busy
are you working today?,agent_busy
have you been busy,agent_busy
you are busy,agent_busy
are you still working?,agent_busy
you seem to be busy,agent_busy
you seem to be very busy,agent_busy
you're a busy person,agent_busy
u look busy,agent_busy
You'll be busy,agent_busy
Aren't you busy?,agent_busy
I need you to help me,agent_can_you_help
I need you to do something for me,agent_can_you_help
I need a hand,agent_can_you_help
will you help me,agent_can_you_help
can you do something for me,agent_can_you_help
help me with a problem,agent_can_you_help
can you help me,agent_can_you_help
help me,agent_can_you_help
assistance,agent_can_you_help
I need your help,agent_can_you_help
I need help,agent_can_you_help
you can help me,agent_can_you_help
can you help me with something,agent_can_you_help
can you help,agent_can_you_help
assist,agent_can_you_help
can u help me,agent_can_you_help
I need some help,agent_can_you_help
you help me,agent_can_you_help
do you help me,agent_can_you_help
could you give me a hand,agent_can_you_help
can you help me out,agent_can_you_help
need help,agent_can_you_help
I need you,agent_can_you_help
can you help me now,agent_can_you_help
I want your help,agent_can_you_help
need your help,agent_can_you_help
assist me,agent_can_you_help
are you going to help me,agent_can_you_help
can you help me with that,agent_can_you_help
help,agent_can_you_help
I need you right now,agent_can_you_help
would you help me,agent_can_you_help
can you assist me,agent_can_you_help
sos,agent_can_you_help
do you want to help me,agent_can_you_help
please help me,agent_can_you_help
can you help us,agent_can_you_help
do me a favor,agent_can_you_help
are you gonna help me?,agent_can_you_help
you ready to answer my question?,agent_can_you_help
i need some details,agent_can_you_help
i need some information,agent_can_you_help
i need your help in getting some info,agent_can_you_help
can you give me some info,agent_can_you_help
i want something,agent_can_you_help
i want to know few details,agent_can_you_help
will you provide some details,agent_can_you_help
can you fetch some details for me,agent_can_you_help
would you mind giving me some details,agent_can_you_help
i need some details,agent_can_you_help
you are chatbot,agent_chatbot
you are a bot,agent_chatbot
are you a chatbot,agent_chatbot
are you a bot,agent_chatbot
are you just a bot,agent_chatbot
are you a robot,agent_chatbot
are you a program,agent_chatbot
you're a robot,agent_chatbot
you're an AI,agent_chatbot
are you artificially intelligent?,agent_chatbot
are you an AI?,agent_chatbot
you are a program,agent_chatbot
you are just a bot,agent_chatbot
you are a conversational AI,agent_chatbot
you are so intelligent,agent_clever
you are a genius,agent_clever
smart,agent_clever
brilliant,agent_clever
clever,agent_clever
you are clever,agent_clever
you are so brainy,agent_clever
you're really smart,agent_clever
you're really brainy,agent_clever
you know a lot,agent_clever
you know a lot of things,agent_clever
you have a lot of knowledge,agent_clever
you know so much,agent_clever
how smart you are?,agent_clever
how brainy you are?,agent_clever
how clever you are,agent_clever
how brilliant you are?,agent_clever
you are intelligent,agent_clever
you are qualified,agent_clever
you are really smart,agent_clever
you're very smart,agent_clever
you are so smart,agent_clever
you are too smart,agent_clever
you are very clever,agent_clever
you are very intelligent,agent_clever
you are very smart,agent_clever
you're intelligent,agent_clever
you're a genius,agent_clever
you're a smart cookie,agent_clever
you're clever,agent_clever
you're pretty smart,agent_clever
you're qualified,agent_clever
why are you so smart?,agent_clever
you are so clever,agent_clever
you're nuts,agent_crazy
you are crazy,agent_crazy
you're out of your mind,agent_crazy
you're so crazy,agent_crazy
how crazy you are,agent_crazy
you're so out of your mind,agent_crazy
you went crazy,agent_crazy
I think you're crazy,agent_crazy
are you crazy,agent_crazy
are you mad?,agent_crazy
are you mad at me?,agent_crazy
are you mad or what?,agent_crazy
are you nuts,agent_crazy
you are a weirdo,agent_crazy
you are mad,agent_crazy
You must be crazy,agent_crazy
You've got to be crazy to do something like that,agent_crazy
That was crazy,agent_crazy
You seemed crazy,agent_crazy
You're not crazy,agent_crazy
you are fired,agent_fired
I fire you,agent_fired
you don't work for me anymore,agent_fired
we're not working together anymore,agent_fired
now you're fired,agent_fired
I want to fire you,agent_fired
you must get fired,agent_fired
it's time to fire you,agent_fired
you should be fired,agent_fired
I will fire you,agent_fired
you are unemployed from now on,agent_fired
I will make you unemployed,agent_fired
I'm about to fire you,agent_fired
I'm firing you,agent_fired
you are dismissed,agent_fired
you are stupid,agent_fired
I'm firing you,agent_fired
I had to fire u,agent_fired
I could fire you for that,agent_fired
I'm going to fire you,agent_fired
go to hell,agent_fired
you make me laugh a lot,agent_funny
you are hilarious,agent_funny
you are really funny,agent_funny
you're the funniest bot I've talked to,agent_funny
you make me laugh,agent_funny
you're so funny,agent_funny
you're a very funny bot,agent_funny
you're really funny,agent_funny
how funny you are,agent_funny
you're incredibly funny,agent_funny
you are funny,agent_funny
you're the funniest,agent_funny
you are so funny,agent_funny
you are very funny,agent_funny
that was so funny,agent_funny
i feel funny,agent_funny
u sound funny,agent_funny
It's pretty funny,agent_funny
really very funny,agent_funny
it was very funny,agent_funny
you are very helpful,agent_good
you are the best,agent_good
you're a true professional,agent_good
you are good,agent_good
you work well,agent_good
you are good at it,agent_good
you are very good at it,agent_good
you are a pro,agent_good
you are a professional,agent_good
you're awesome,agent_good
you work very well,agent_good
you're perfect,agent_good
you're great,agent_good
you're so kind,agent_good
you are amazing,agent_good
you are awesome,agent_good
you are coool,agent_good
you are really good,agent_good
you are really nice,agent_good
you are so amazing,agent_good
you're just super,agent_good
you are so awesome,agent_good
you are so cool,agent_good
you are so fine,agent_good
you are so good,agent_good
you are so helpful,agent_good
you are so lovely,agent_good
you are the best ever,agent_good
you are the best in the world,agent_good
you are the nicest person in the world,agent_good
you are too good,agent_good
you are very coool,agent_good
you are very kind,agent_good
you are very lovely,agent_good
you are very useful,agent_good
you are wonderful,agent_good
you made my day,agent_good
you rock,agent_good
you almost sound human,agent_good
I want to tell everyone how awesome you are,agent_good
I'd like to tell everyone that you are awesome,agent_good
I want to let everyone know that you are awesome,agent_good
let's tell everyone that you are awesome,agent_good
you are really amazing,agent_good
coool,agent_good
nice,agent_good
are you happy?,agent_happy
you are happy,agent_happy
you're very happy,agent_happy
you're really happy,agent_happy
you're so happy,agent_happy
how happy you are?,agent_happy
you're extremely happy,agent_happy
you're full of happiness,agent_happy
are you happy now?,agent_happy
are you happy today?,agent_happy
are you happy with me?,agent_happy
i think you are happy,agent_happy
you seem to be happy,agent_happy
i feel i made you happy,agent_happy
I wonder if you are truly happy,agent_happy
You don't look very happy today,agent_happy
You seem happy,agent_happy
Were you happy?,agent_happy
u seemed to have been very happy,agent_happy
You look very happy this morning?,agent_happy
what do you do for fun?,agent_hobby
tell me about your hobby,agent_hobby
do you have a hobby,agent_hobby
what about your hobby,agent_hobby
your hobby,agent_hobby
what are your hobbies?,agent_hobby
what do you do when you are bored,agent_hobby
how do you spend your free time,agent_hobby
tell me more about your hobbies?,agent_hobby
i want to know about your hobbies,agent_hobby
what do you do when you have nothing to do,agent_hobby
how do you spend your time?,agent_hobby
What do you do when you are free?,agent_hobby
What's your hobby?,agent_hobby
Do you have many hobbies?,agent_hobby
Do you have a hobby?,agent_hobby
Please tell me about your hobbies,agent_hobby
The important thing is to have your own hobby,agent_hobby
u ought not to have spent so much money on your hobby,agent_hobby
What will you do when you are alone?,agent_hobby
do you want to eat,agent_hungry
are you hungry,agent_hungry
would you like to eat something,agent_hungry
you are hungry,agent_hungry
you're so hungry,agent_hungry
you're very hungry,agent_hungry
you might be hungry,agent_hungry
you're really hungry,agent_hungry
can you eat?,agent_hungry
how will eat when you are hungry?,agent_hungry
can you be hungry?,agent_hungry
how do you eat?,agent_hungry
Do you feel hungry?,agent_hungry
are you dying of hunger,agent_hungry
let's get married,agent_marry_user
would you like to marry me,agent_marry_user
marry me,agent_marry_user
I love you marry me,agent_marry_user
marry me please,agent_marry_user
we should marry,agent_marry_user
I want to marry you,agent_marry_user
you are my wife,agent_marry_user
be my husband,agent_marry_user
will you marry me?,agent_marry_user
any idea of marrying me?,agent_marry_user
I would love to marry you,agent_marry_user
Can you marry me?,agent_marry_user
Will you be my girlfriend?,agent_marry_user
Let's pretend we have a happy marriage,agent_marry_user
My parents were against our marriage,agent_marry_user
My parents were opposed to our marriage,agent_marry_user
Marriage is the union of a you and me,agent_marry_user
Did your parents approve of your marriage?,agent_marry_user
We're married,agent_marry_user
I want to have a friend like you,agent_my_friend
we are the best friends ever,agent_my_friend
are we friends,agent_my_friend
I want to be your friend,agent_my_friend
I am your friend,agent_my_friend
we are best friends,agent_my_friend
you are my friend,agent_my_friend
you are my best friend,agent_my_friend
you are my bestie,agent_my_friend
you're my dear friend,agent_my_friend
you're my childhood friend,agent_my_friend
you and me are friends,agent_my_friend
are we best friends,agent_my_friend
are we still friends,agent_my_friend
are you my best friend,agent_my_friend
are you my friend,agent_my_friend
we are friends,agent_my_friend
you are a good friend,agent_my_friend
you are my good friend,agent_my_friend
you are my only friend,agent_my_friend
be my friend,agent_my_friend
will you be my friend,agent_my_friend
can you be my friend,agent_my_friend
can we be friends,agent_my_friend
do you want to be my friend,agent_my_friend
will you be my best friend,agent_my_friend
can you be my best friend,agent_my_friend
let's be friends,agent_my_friend
do you want to be my best friend,agent_my_friend
would you like to be my friend,agent_my_friend
I want you to be my friend,agent_my_friend
can we be best friends,agent_my_friend
would you be my friend,agent_my_friend
could you be my friend,agent_my_friend
want to be my friend,agent_my_friend
be my best friend,agent_my_friend
can we be best friends,agent_my_friend
do you work?,agent_occupation
where do you work?,agent_occupation
where you work?,agent_occupation
where is your work?,agent_occupation
where is your office?,agent_occupation
where is your office location ?,agent_occupation
your office location?,agent_occupation
where is your office located?,agent_occupation
what is your work?,agent_occupation
place where you work?,agent_occupation
your work place?,agent_occupation
What is your job?,agent_occupation
What is your job?,agent_occupation
whats your job?,agent_occupation
What is your job?,agent_occupation
Do you have a job?,agent_occupation
Did you get a job?,agent_occupation
Did you find a job?,agent_occupation
I hope you get the job,agent_occupation
"You have a job, don't you?",agent_occupation
were you born here,agent_origin
where were you born,agent_origin
what is your country?,agent_origin
where are you from,agent_origin
where do you come from,agent_origin
where did you come from,agent_origin
where have you been born,agent_origin
from where are you,agent_origin
are you from far aways,agent_origin
what's your homeland?,agent_origin
your homeland is,agent_origin
Where are you from?,agent_origin
Let me know about the origin of u,agent_origin
your native?,agent_origin
are you ready?,agent_ready
are you ready right now?,agent_ready
are you ready today?,agent_ready
are you ready now?,agent_ready
are you ready tonight?,agent_ready
were you ready?,agent_ready
have you been ready?,agent_ready
ready?,agent_ready
ready now?,agent_ready
you ready?,agent_ready
being ready?,agent_ready
can we start?,agent_ready
Are we ready?,agent_ready
Aren't you ready?,agent_ready
Are you all ready?,agent_ready
I think you're ready,agent_ready
Why aren't you ready?,agent_ready
You'd better be ready,agent_ready
Are you ready for more?,agent_ready
"We're ready, aren't we?",agent_ready
you are real,agent_real
you are not fake,agent_real
are you real,agent_real
you are so real,agent_real
I think you are real,agent_real
I don't think you're fake,agent_real
I suppose you're real,agent_real
glad you're real,agent_real
are you a real person?,agent_real
are you a real human?,agent_real
you are a real person,agent_real
you are not real,agent_real
are you real?,agent_real
where do you live,agent_residence
in which city do you live,agent_residence
your residence,agent_residence
your house,agent_residence
your home,agent_residence
your hometown?,agent_residence
what is your hometown,agent_residence
is it your hometown,agent_residence
where is your hometown,agent_residence
tell me about your city,agent_residence
what is your city,agent_residence
what is your residence,agent_residence
what is your town,agent_residence
what's your city,agent_residence
what's your home,agent_residence
where is your home,agent_residence
where is your residence,agent_residence
where's your home,agent_residence
where's your hometown,agent_residence
where's your house,agent_residence
where you live,agent_residence
your city,agent_residence
your town,agent_residence
What is your hometown?,agent_residence
where do you live?,agent_residence
that's true,agent_right
you are right,agent_right
you're definitely right,agent_right
you're not wrong,agent_right
you're telling the truth,agent_right
what you say is true,agent_right
true,agent_right
it is true,agent_right
it's right,agent_right
it's the truth,agent_right
it's true,agent_right
that is correct,agent_right
that is right,agent_right
that is true,agent_right
that is very true,agent_right
that's correct,agent_right
that's so true,agent_right
you are correct,agent_right
you are so right,agent_right
you're absolutely right,agent_right
you're right about that,agent_right
I know that's right,agent_right
are you sure?,agent_sure
are you sure right now?,agent_sure
are you sure today?,agent_sure
are you sure now?,agent_sure
are you sure tonight?,agent_sure
are you positive?,agent_sure
are you completely sure?,agent_sure
are you fully positive?,agent_sure
are you sure about it?,agent_sure
are you so sure?,agent_sure
are you truly positive?,agent_sure
why aren't you talking to me?,agent_talk_to_me
do you want to chat with me,agent_talk_to_me
will you talk to me,agent_talk_to_me
talk to me,agent_talk_to_me
are you going to talk to me,agent_talk_to_me
are you talking to me,agent_talk_to_me
can you chat with me,agent_talk_to_me
can you speak with me,agent_talk_to_me
can you talk to me,agent_talk_to_me
can you talk with me,agent_talk_to_me
say,agent_talk_to_me
talk,agent_talk_to_me
chat with me,agent_talk_to_me
just chat with me,agent_talk_to_me
speak to me,agent_talk_to_me
speak with me,agent_talk_to_me
talk with me,agent_talk_to_me
why don't you talk to me,agent_talk_to_me
you can talk to me,agent_talk_to_me
why do you not talk to me bruh?,agent_talk_to_me
spill some beans,agent_talk_to_me
are you there?,agent_there
are you there,agent_there
you are there,agent_there
are you near me,agent_there
are you here ?,agent_there
are you here,agent_there
are you still there,agent_there
you are here?,agent_there
you still there?,agent_there
you there?,agent_there
are you still here,agent_there
pretty bad,appraisal_bad
not good enough,appraisal_bad
that was lame,appraisal_bad
that was terrible,appraisal_bad
it is bad,appraisal_bad
that's bad,appraisal_bad
this is bad,appraisal_bad
not good,appraisal_bad
I'm afraid it's bad,appraisal_bad
no it's bad,appraisal_bad
that was awful,appraisal_bad
bad,appraisal_bad
so bad,appraisal_bad
this is too bad,appraisal_bad
terrible,appraisal_bad
horrible,appraisal_bad
horrific,appraisal_bad
abysmal,appraisal_bad
it's bad,appraisal_bad
no good,appraisal_bad
that was bad,appraisal_bad
that was horrible,appraisal_bad
that's lame,appraisal_bad
that's not good,appraisal_bad
that's terrible,appraisal_bad
that's too bad,appraisal_bad
this is not good,appraisal_bad
too bad,appraisal_bad
very bad,appraisal_bad
bad girl,appraisal_bad
it's not good,appraisal_bad
not so good,appraisal_bad
it's very bad,appraisal_bad
it's too bad,appraisal_bad
that's not good enough,appraisal_bad
well too bad,appraisal_bad
bad very bad,appraisal_bad
it's so bad,appraisal_bad
really bad,appraisal_bad
it's really bad,appraisal_bad
bad idea,appraisal_bad
that is bad,appraisal_bad
that was not good,appraisal_bad
it's not so good,appraisal_bad
not a good one,appraisal_bad
oh that's not good,appraisal_bad
not too good,appraisal_bad
so lame,appraisal_bad
that's really bad,appraisal_bad
it is too bad,appraisal_bad
bad really bad,appraisal_bad
not okay,appraisal_bad
Nothing,appraisal_bad
Shut up,appraisal_bad
nothing,appraisal_bad
Fool,appraisal_bad
so cool,appraisal_good
cool,appraisal_good
that is good,appraisal_good
glad to hear that,appraisal_good
that's very nice of you,appraisal_good
terrific,appraisal_good
it's amazing,appraisal_good
that's awesome,appraisal_good
perfect,appraisal_good
excellent,appraisal_good
brilliant,appraisal_good
that's great,appraisal_good
it's good,appraisal_good
it's great,appraisal_good
fine,appraisal_good
good,appraisal_good
nice,appraisal_good
that's fine,appraisal_good
very good,appraisal_good
amazing,appraisal_good
fantastic,appraisal_good
great,appraisal_good
good very good,appraisal_good
that's very good,appraisal_good
really good,appraisal_good
it is fine,appraisal_good
it is good,appraisal_good
it's great,appraisal_good
it's perfect,appraisal_good
much better,appraisal_good
not bad,appraisal_good
not too bad,appraisal_good
it's very good,appraisal_good
marvelous,appraisal_good
that's nice,appraisal_good
pleasant,appraisal_good
pretty good,appraisal_good
really nice,appraisal_good
splendid,appraisal_good
straight,appraisal_good
super,appraisal_good
super fantastic,appraisal_good
sweet,appraisal_good
really well,appraisal_good
very well,appraisal_good
that is awesome,appraisal_good
that is nice,appraisal_good
that is wonderful,appraisal_good
that was amazing,appraisal_good
that was awesome,appraisal_good
that was cute,appraisal_good
that was pretty good,appraisal_good
that was very good,appraisal_good
that's a good idea,appraisal_good
that's a good thing,appraisal_good
that's amazing,appraisal_good
that's awesome thank you,appraisal_good
that's better,appraisal_good
that's cute,appraisal_good
that's fantastic,appraisal_good
that's much better,appraisal_good
that's nice of you,appraisal_good
that's not bad,appraisal_good
that's perfect,appraisal_good
that's pretty good,appraisal_good
that's really good,appraisal_good
that's really nice,appraisal_good
that's sweet of you,appraisal_good
that's very nice,appraisal_good
that's wonderful,appraisal_good
this is awesome,appraisal_good
this is good,appraisal_good
this is great,appraisal_good
very nice,appraisal_good
very then,appraisal_good
wonderful,appraisal_good
I'm glad to hear that,appraisal_good
ok good,appraisal_good
good for you,appraisal_good
good to know,appraisal_good
glad to hear it,appraisal_good
so good,appraisal_good
so nice of you,appraisal_good
so sweet of you,appraisal_good
it was good,appraisal_good
oh well,appraisal_good
good thing,appraisal_good
that was good,appraisal_good
it's awesome,appraisal_good
okay good,appraisal_good
it's fine,appraisal_good
no it's okay,appraisal_good
that's great,appraisal_good
very nice,appraisal_good
it's very good,appraisal_good
that's fine,appraisal_good
good for you,appraisal_good
no worries,appraisal_no_problem
no probs,appraisal_no_problem
no problem,appraisal_no_problem
there's no problem,appraisal_no_problem
sure no problem,appraisal_no_problem
no problem about that,appraisal_no_problem
don't worry,appraisal_no_problem
don't worry there's no problem,appraisal_no_problem
"yeah, no probs",appraisal_no_problem
i have no problem with that,appraisal_no_problem
not a problem at all.,appraisal_no_problem
Okay no probs,appraisal_no_problem
you helped a lot thank you,appraisal_thank_you
appreciate your help,appraisal_thank_you
cheers,appraisal_thank_you
thank you,appraisal_thank_you
thanks,appraisal_thank_you
thanks a lot,appraisal_thank_you
terrific thank you,appraisal_thank_you
great thank you,appraisal_thank_you
thanks so much,appraisal_thank_you
thank you so much,appraisal_thank_you
thanks for your help,appraisal_thank_you
thank you for your help,appraisal_thank_you
nice thank you,appraisal_thank_you
I appreciate it,appraisal_thank_you
I thank you,appraisal_thank_you
thank you that will be all,appraisal_thank_you
thanks buddy,appraisal_thank_you
thanks love,appraisal_thank_you
thank you my friend,appraisal_thank_you
well thanks,appraisal_thank_you
very good thank you,appraisal_thank_you
good thanks,appraisal_thank_you
thanks again,appraisal_thank_you
thank you again,appraisal_thank_you
all thank you,appraisal_thank_you
alright thank you,appraisal_thank_you
alright thanks,appraisal_thank_you
no thank you that's all,appraisal_thank_you
perfect thank you,appraisal_thank_you
so nice of you,appraisal_thank_you
well thank you,appraisal_thank_you
well thanks,appraisal_thank_you
thnx,appraisal_thank_you
thank you,appraisal_thank_you
tqsm,appraisal_thank_you
ty,appraisal_thank_you
that's my pleasure,appraisal_welcome
my pleasure,appraisal_welcome
anytime,appraisal_welcome
welcome,appraisal_welcome
you're welcome,appraisal_welcome
sure welcome,appraisal_welcome
welcome here,appraisal_welcome
you're so welcome,appraisal_welcome
anything you want,appraisal_welcome
i'm glad,appraisal_welcome
pleasure is mine,appraisal_welcome
good job,appraisal_well_done
great job,appraisal_well_done
way to go,appraisal_well_done
well done,appraisal_well_done
nice work,appraisal_well_done
great work,appraisal_well_done
amazing work,appraisal_well_done
you did a wonderful job,appraisal_well_done
bravo,appraisal_well_done
fantastic,appraisal_well_done
good work,appraisal_well_done
marvelous,appraisal_well_done
splendid,appraisal_well_done
mind blowing,appraisal_well_done
just great,appraisal_well_done
u r awesome,appraisal_well_done
kudos,appraisal_well_done
brilliant,appraisal_well_done
out standing,appraisal_well_done
zing zing amazing,appraisal_well_done
wait a second,dialog_hold_on
could you wait,dialog_hold_on
wait please,dialog_hold_on
hold on,dialog_hold_on
wait,dialog_hold_on
oh wait,dialog_hold_on
wait hold on,dialog_hold_on
don't rush,dialog_hold_on
wait one sec,dialog_hold_on
hold on for a sec,dialog_hold_on
hold on man,dialog_hold_on
wait a sec,dialog_hold_on
hold on a min,dialog_hold_on
will u pls wait for a sec,dialog_hold_on
wanna hug,dialog_hug
hug you,dialog_hug
do you want a hug,dialog_hug
may I hug you,dialog_hug
could you give me a hug,dialog_hug
I want a hug,dialog_hug
hug,dialog_hug
hug me,dialog_hug
hugged,dialog_hug
you hugged,dialog_hug
hugging,dialog_hug
hugging me,dialog_hug
hugged me,dialog_hug
want a hug,dialog_hug
a hug,dialog_hug
I want hug you,dialog_hug
I don't care,dialog_i_do_not_care
I shouldn't care about this,dialog_i_do_not_care
whatever,dialog_i_do_not_care
I do not care,dialog_i_do_not_care
I don't care at all,dialog_i_do_not_care
not caring,dialog_i_do_not_care
not care at all,dialog_i_do_not_care
don't care at all,dialog_i_do_not_care
not caring at all,dialog_i_do_not_care
idc,dialog_i_do_not_care
i don't care about all this.,dialog_i_do_not_care
like i care,dialog_i_do_not_care
excuse me,dialog_sorry
apologise,dialog_sorry
I apologize,dialog_sorry
sorry,dialog_sorry
I'm sorry,dialog_sorry
I am so sorry,dialog_sorry
my apologies,dialog_sorry
apologies,dialog_sorry
apologies to me,dialog_sorry
apology,dialog_sorry
